time,L_HUMAN,inference_compute,experiment_compute,training_compute
2017.0,36.61424646,0.7922586137,14.73601022,21.42570325
2018.0,46.500093,2.368865164,42.63957294,22.11309184
2019.0,59.05511811,7.372574389,132.706339,22.70721118
2020.0,75,24.11105106,433.9989191,23.30495212
2021.0,95.25,84.21052632,1431.578947,23.9183173
2022.0,120.9675,310,5270,24.54774404
2023.0,182.6,1268,20288,25.19216998
2024.0,415,6383.230887,89365.23242,25.84396825
2025.0,1037.5,24283.24622,305968.9024,26.48621697
2026.0,2593.75,103664.8207,1036648.207,27.08316889
2027.0,5446.875,333498.3688,3334983.688,27.62504361
2028.0,9804.375,785493.1847,7854931.847,28.05117612
2029.0,16177.21875,1803327.968,18033279.68,28.41654828
2030.0,22648.10625,3536566.745,35365667.45,28.73638423
2031.0,31007.31638,6435081.989,64350819.89,29.00935081
2032.0,41493.427,10532318.23,105323182.3,29.2416939
2033.0,54243.22548,16802234.05,168022340.5,29.44898098
2034.0,69234.08053,26327626.68,263276266.8,29.64714031
2035.0,86227.90029,40693068.63,406930686.3,29.83861984
2036.0,104727.7044,62198480.43,621984804.3,30.02481601
2037.0,123959.5192,94154680.46,941546804.6,30.2065545
2038.0,142891.5184,141288442.6,1412884426,30.3843359
2039.0,160298.3034,210292220,2102922200,30.55846959
2040.0,174870.8765,310562810.4,3105628104,30.72914992
2041.0,185363.129,455183901.6,4551839016,30.8965009
2042.0,196299.5537,644627214.4,6446272144,31.05357993
2043.0,207684.9278,891878291.5,8918782915,31.1986207
2044.0,219522.9686,1213361803,12133618026,31.33522591
2045.0,231816.2549,1629755691,16297556913,31.46557576
2046.0,244566.1489,2166970865,21669708646,31.59106432
2047.0,257772.721,2857322922,28573229215,31.71261812
2048.0,271434.6752,3740924879,37409248787,31.83087055
2049.0,285549.2783,4867332072,48673320718,31.94626398
2050.0,300112.2915,6297472268,62974722680,32.05911248
2051.0,315117.906,8105895318,81058953177,32.16964208
2052.0,330558.6834,10383377214,103833772141,32.27801729
2053.0,346425.5002,13239912983,132399129827,32.38435905
2054.0,362707.4987,16808131132,168081311316,32.48875707
2055.0,379392.0437,21247159208,212471592076,32.59127854
2056.0,396464.6857,26746965026,267469650260,32.69197421
2057.0,413909.1318,33533191119,335331911190,32.79088282
2058.0,431707.2245,41872490616,418724906157,32.88803426
2059.0,449838.9279,52078360895,520783608955,32.9834519
2060.0,468282.324,64517456783,645174567835,33.07715423
2061.0,487013.6169,79616347660,796163476604,33.16915619
2062.0,506007.148,97868662636,978686626360,33.25947002
2063.0,525235.4196,119842544974,1198425449740,33.34810599
2064.0,544669.1301,146188311487,1461883114868,33.43507291
2065.0,564277.2188,177646185023,1776461850235,33.5203785
2066.0,584026.9215,215053938996,2150539389965,33.60402971
2067.0,603883.8368,259354262861,2593542628608,33.68603292
2068.0,623812.0034,311601627476,3116016274762,33.76639412
2069.0,643773.9875,372968400435,3729684004353,33.84511906
2070.0,663730.9811,444749934971,4447499349711,33.92221332
2071.0,683642.9106,528368333359,5283683333593,33.99768242
2072.0,703468.555,625374568286,6253745682864,34.07153186
2073.0,723165.6745,737448635020,7374486350196,34.1437672
2074.0,742691.1477,866397404924,8663974049245,34.21439407
2075.0,762001.1176,1014149858415,10141498584154,34.28341825
2076.0,781051.1455,1182749394111,11827493941111,34.35084565
2077.0,799796.373,1374342941907,13743429419066,34.41668236
2078.0,818191.6896,1591166651649,15911666516486,34.48093469
2079.0,836191.9068,1835527986498,18355279864980,34.54360916
2080.0,853751.9368,2109784120813,21097841208135,34.60471256
2081.0,870826.9755,2416316625856,24163166258561,34.66425192
2082.0,887372.6881,2757502521631,27575025216305,34.72223455
2083.0,903345.3965,3135681877907,31356818779066,34.7786681
2084.0,918702.2682,3553122259520,35531222595202,34.8335605
2085.0,933401.5045,4011980427425,40119804274253,34.88692003
2086.0,947402.5271,4514261824158,45142618241578,34.93875534
2087.0,960666.1624,5061778486425,50617784864247,34.98907544
2088.0,973154.8226,5656106134210,56561061342101,35.03788974
2089.0,984832.6804,6298541280676,62985412806761,35.08520806
2090.0,995665.8399,6990059285836,69900592858363,35.13104067
2091.0,1005622.498,7731274335302,77312743353015,35.17539827
2092.0,1014673.101,8522402359545,85224023595449,35.21829205
2093.0,1022790.486,9363227915901,93632279159014,35.25973369
2094.0,1029950.019,10253076032491,102530760324906,35.2997354
2095.0,1036129.719,11190789958953,111907899589533,35.33830992
2096.0,1041310.368,12174715682922,121747156829218,35.37547054
2097.0,1045475.609,13202693954282,132026939542816,35.41123117
2098.0,1048612.036,14272060413511,142720604135107,35.4456063
2099.0,1050709.26,15379654248913,153796542489132,35.47861107
2100.0,1051759.969,16521835614731,165218356147308,35.51026125
2101.0,1051759.969,17845888987940,178458889879396,35.5427953
2102.0,1050708.209,19217818420880,192178184208797,35.575486
2103.0,1050708.209,20633560017862,206335600178621,35.60687363
2104.0,1050708.209,22088557191112,220885571911115,35.6369768
2105.0,1050708.209,23577802512513,235778025125129,35.6658149
2106.0,1050708.209,25095888169521,250958881695208,35.69340809
2107.0,1050708.209,26639777616148,266397776161475,35.7198039
2108.0,1050708.209,28209138215926,282091382159263,35.74509
2109.0,1050708.209,29803606615599,298036066155986,35.7693605
2110.0,1050708.209,31422788785824,314227887858239,35.7926971
2111.0,1050708.209,33066260123286,330662601232858,35.81517117
2112.0,1050708.209,34733565614909,347335656149089,35.83684542
2113.0,1050708.209,36424220064725,364242200647252,35.85777523
2114.0,1050708.209,38137708383756,381377083837560,35.87800978
2115.0,1050708.209,39873485943087,398734859430867,35.8975929
2116.0,1050708.209,41630978990134,416309789901339,35.91656383
2117.0,1050708.209,43409585127912,434095851279118,35.93495787
2118.0,1050708.209,45208673856917,452086738569171,35.95280683
2119.0,1050708.209,47027587179062,470275871790623,35.97013954
2120.0,1050708.209,48865640262895,488656402628950,35.98698216
2121.0,1050708.209,50722122169151,507221221691509,36.00335853
2122.0,1050708.209,52596296635500,525962966354996,36.01929045
2123.0,1050708.209,54487402919154,544874029191536,36.03479786
2124.0,1050708.209,56394656695828,563946566958281,36.04989911
2125.0,1050708.209,58317251013357,583172510133565,36.06461107
2126.0,1050708.209,60254357298089,602543572980890,36.07894933
2127.0,1050708.209,62205126412032,622051264120323,36.09292832
2128.0,1050708.209,64168689758519,641686897585187,36.1065614
2129.0,1050708.209,66144160434034,661441604340339,36.119861
2130.0,1050708.209,68130634423680,681306344236801,36.1328387
2131.0,1050708.209,70127191837606,701271918376059,36.14550529
2132.0,1050708.209,72132898185594,721328981855943,36.15787088
2133.0,1050708.209,74146805686876,741468056868764,36.16994491
2134.0,1050708.209,76167954612114,761679546121143,36.18173628
2135.0,1050708.209,78195374654393,781953746543930,36.19325332
2136.0,1050708.209,80228086325958,802280863259575,36.20450389
2137.0,1050708.209,82265102377347,822651023773474,36.21549541
2138.0,1050708.209,84305429235503,843054292355027,36.22623488
2139.0,1050708.209,86348068457351,863480684573506,36.23672895
2140.0,1050708.209,88392018195330,883920181953297,36.24698389
2141.0,1050708.209,90436274671266,904362746712660,36.25700569
2142.0,1050708.209,92479833654990,924798336549896,36.26680002
2143.0,1050708.209,94521691944060,945216919440604,36.27637231
2144.0,1050708.209,96560848840970,965608488409702,36.28572771
2145.0,1050708.209,98596307624198,985963076241977,36.29487117
2146.0,1050708.209,100627077009511,1.00627E+15,36.3038074
2147.0,1050708.209,102652172597947,1.02652E+15,36.31254093
2148.0,1050708.209,104670618306950,1.04671E+15,36.32107611
2149.0,1050708.209,106681447781188,1.06681E+15,36.32941712
2150.0,1050708.209,108683705779671,1.08684E+15,36.33756798
2151.0,1050708.209,110676449535830,1.10676E+15,36.34553255
2152.0,1050708.209,112658750087357,1.12659E+15,36.35331458
2153.0,1050708.209,114629693572664,1.1463E+15,36.36091768
2154.0,1050708.209,116588382490964,1.16588E+15,36.36834534
2155.0,1050708.209,118533936923087,1.18534E+15,36.37560095
2156.0,1050708.209,120465495710269,1.20465E+15,36.3826878
2157.0,1050708.209,122382217588312,1.22382E+15,36.38960908
2158.0,1050708.209,124283282274639,1.24283E+15,36.39636788
2159.0,1050708.209,126167891505941,1.26168E+15,36.40296722
2160.0,1050708.209,128035270024271,1.28035E+15,36.40941004
2161.0,1050708.209,129884666509602,1.29885E+15,36.41569922
2162.0,1050708.209,131715354457048,1.31715E+15,36.42183755
2163.0,1050708.209,133526632997127,1.33527E+15,36.42782776
2164.0,1050708.209,135317827657622,1.35318E+15,36.43367254
2165.0,1050708.209,137088291065773,1.37088E+15,36.43937451
2166.0,1050708.209,138837403589758,1.38837E+15,36.44493624
2167.0,1050708.209,140564573918557,1.40565E+15,36.45036024
2168.0,1050708.209,142269239579524,1.42269E+15,36.455649
2169.0,1050708.209,143950867393176,1.43951E+15,36.46080494
2170.0,1050708.209,145608953864879,1.45609E+15,36.46583045
2171.0,1050708.209,147243025513321,1.47243E+15,36.47072788
2172.0,1050708.209,148852639135843,1.48853E+15,36.47549955
2173.0,1050708.209,150437382010868,1.50437E+15,36.48014773
2174.0,1050708.209,151996872037879,1.51997E+15,36.48467468
2175.0,1050708.209,153530757815532,1.53531E+15,36.48908261
2176.0,1050708.209,155038718658711,1.55039E+15,36.4933737
2177.0,1050708.209,156520464555440,1.5652E+15,36.49755012
2178.0,1050708.209,157975736064794,1.57976E+15,36.50161399
2179.0,1050708.209,159404304157034,1.59404E+15,36.50556742
2180.0,1050708.209,160805969997395,1.60806E+15,36.50941249
2181.0,1050708.209,162180564675075,1.62181E+15,36.51315127
2182.0,1050708.209,163527948879082,1.63528E+15,36.51678577
2183.0,1050708.209,164848012522763,1.64848E+15,36.52031801
2184.0,1050708.209,166140674318922,1.66141E+15,36.52375
2185.0,1050708.209,167405881307542,1.67406E+15,36.52708369
2186.0,1050708.209,168643608338250,1.68644E+15,36.53032103
2187.0,1050708.209,169853857509716,1.69854E+15,36.53346396
2188.0,1050708.209,171036657568273,1.71037E+15,36.53651439
2189.0,1050708.209,172192063268125,1.72192E+15,36.53947421
2190.0,1050708.209,173320154695552,1.7332E+15,36.54234529
2191.0,1050708.209,174421036559575,1.74421E+15,36.54512949
2192.0,1050708.209,175494837451586,1.75495E+15,36.54782864
2193.0,1050708.209,176541709076488,1.76542E+15,36.55044458
2194.0,1050708.209,177561825457898,1.77562E+15,36.55297908
2195.0,1050708.209,178555382119983,1.78555E+15,36.55543395
2196.0,1050708.209,179522595248508,1.79523E+15,36.55781095
2197.0,1050708.209,180463700833663,1.80464E+15,36.56011182
2198.0,1050708.209,181378953797225,1.81379E+15,36.56233829
2199.0,1050708.209,182268627106590,1.82269E+15,36.56449208
2200.0,1050708.209,183133010878177,1.83133E+15,36.56657487
